,name,club,age,position,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,nationality,new_foreign,age_cat,club_id,big_club,new_signing
1,Alexis Sanchez,Arsenal,28,LW,Attacker,65,4329,12,17.1,264,Americas,Chile,0,4,1,1,0
2,Mesut Ozil,Arsenal,28,AM,Attacker,50,4395,9.5,5.6,167,EU,Germany,0,4,1,1,0
3,Petr Cech,Arsenal,35,GK,Goalkeeper,7,1529,5.5,5.9,134,EU,Czech Republic,0,6,1,1,0
4,Theo Walcott,Arsenal,28,RW,Attacker,20,2393,7.5,1.5,122,United Kingdom,United Kingdom,0,4,1,1,0
5,Laurent Koscielny,Arsenal,31,CB,Defence,22,912,6,0.7,121,EU,France,0,4,1,1,0
6,Hector Bellerin,Arsenal,22,RB,Defence,30,1675,6,13.7,119,EU,Spain,0,2,1,1,0
7,Olivier Giroud,Arsenal,30,CF,Attacker,22,2230,8.5,2.5,116,EU,France,0,4,1,1,0
8,Nacho Monreal,Arsenal,31,LB,Defence,13,555,5.5,4.7,115,EU,Spain,0,4,1,1,0
9,Shkodran Mustafi,Arsenal,25,CB,Defence,30,1877,5.5,4,90,EU,Germany,0,3,1,1,1
10,Alex Iwobi,Arsenal,21,LW,Attacker,10,1812,5.5,1,89,RoW,Nigeria,0,1,1,1,0
11,Granit Xhaka,Arsenal,24,DM,Midfield,35,1815,5.5,2,85,EU,Switzerland,0,2,1,1,0
12,Alex Oxlade-Chamberlain,Arsenal,23,RM,Midfield,22,1519,6,1.8,83,United Kingdom,United Kingdom,0,2,1,1,0
13,Jack Wilshere,Arsenal,25,CM,Midfield,18,1759,5.5,0,61,United Kingdom,United Kingdom,0,3,1,1,0
14,Aaron Ramsey,Arsenal,26,CM,Midfield,35,1040,7,5.1,56,United Kingdom,United Kingdom,0,3,1,1,0
15,Francis Coquelin,Arsenal,26,DM,Midfield,15,549,4.5,1.7,52,EU,France,0,3,1,1,0
16,Gabriel Paulista,Arsenal,26,CB,Defence,13,552,5,0.1,45,Americas,Brazil,0,3,1,1,0
17,Kieran Gibbs,Arsenal,27,LB,Defence,10,489,5,0.5,45,United Kingdom,United Kingdom,0,3,1,1,0
18,Santi Cazorla,Arsenal,32,CM,Midfield,12,943,7,0.1,38,EU,Spain,0,5,1,1,0
19,Danny Welbeck,Arsenal,26,CF,Attacker,15,1521,7.5,0.5,37,United Kingdom,United Kingdom,0,3,1,1,0
20,Rob Holding,Arsenal,21,CB,Defence,7,666,5,1.7,32,United Kingdom,United Kingdom,0,1,1,1,1
21,Mohamed Elneny,Arsenal,25,DM,Midfield,10,683,4.5,0.8,26,RoW,Egypt,0,3,1,1,0
22,Lucas Perez,Arsenal,28,CF,Attacker,15,2055,7.5,0.1,20,EU,Spain,0,4,1,1,1
23,Emiliano Martinez,Arsenal,24,GK,Goalkeeper,1,372,4,4.2,8,Americas,Argentina,0,2,1,1,0
24,David Ospina,Arsenal,28,GK,Goalkeeper,7,544,5,0.2,2,Americas,Colombia,0,4,1,1,0
25,Carl Jenkinson,Arsenal,25,RB,Defence,5,561,4.5,0.4,2,United Kingdom,United Kingdom,0,3,1,1,0
26,Per Mertesacker,Arsenal,32,CB,Defence,6,702,5,1,1,EU,Germany,0,5,1,1,0
27,Sead Kolasinac,Arsenal,24,LB,Defence,15,618,6,6.9,0,EU,Bosnia,1,2,1,1,0
28,Alexandre Lacazette,Arsenal,26,CF,Attacker,40,1183,10.5,26.5,0,EU,France,1,3,1,1,0
29,Joshua King,Bournemouth,25,SS,Attacker,8,997,7.5,10.4,178,EU,Norway,0,3,2,0,0
30,Jermain Defoe,Bournemouth,34,CF,Attacker,5,3213,8,15,166,United Kingdom,United Kingdom,0,6,2,0,0
31,Charlie Daniels,Bournemouth,30,LB,Defence,3,185,5,19.8,134,United Kingdom,United Kingdom,0,4,2,0,0
32,Artur Boruc,Bournemouth,37,GK,Goalkeeper,1,436,4.5,6.9,120,EU,Poland,0,6,2,0,0
33,Steve Cook,Bournemouth,26,CB,Defence,5,184,5,2,112,United Kingdom,United Kingdom,0,3,2,0,0
34,Junior Stanislas,Bournemouth,27,LW,Attacker,4.5,315,6,0.6,107,United Kingdom,United Kingdom,0,3,2,0,0
35,Adam Smith,Bournemouth,26,RB,Defence,5,200,5,0.9,104,United Kingdom,United Kingdom,0,3,2,0,0
36,Ryan Fraser,Bournemouth,23,LW,Attacker,5,516,5.5,1.6,100,EU,United Kingdom,0,2,2,0,0
37,Simon Francis,Bournemouth,32,RB,Defence,2.5,167,4.5,4,89,United Kingdom,United Kingdom,0,5,2,0,0
38,Benik Afobe,Bournemouth,24,CF,Attacker,10,528,6,0.7,88,RoW,Congo DR,0,2,2,0,0
39,Harry Arter,Bournemouth,27,CM,Midfield,2.5,666,5,0.9,84,EU,Ireland,0,3,2,0,0
40,Marc Pugh,Bournemouth,30,LW,Attacker,2,140,5,0.1,64,United Kingdom,United Kingdom,0,4,2,0,0
41,Callum Wilson,Bournemouth,25,CF,Attacker,10,337,6,0.2,63,United Kingdom,United Kingdom,0,3,2,0,0
42,Nathan Ake,Bournemouth,22,CB,Defence,8,1274,5,11.5,55,EU,Netherlands,0,2,2,0,0
43,Dan Gosling,Bournemouth,27,CM,Midfield,3,184,5,0.1,49,United Kingdom,United Kingdom,0,3,2,0,0
44,Andrew Surman,Bournemouth,30,CM,Midfield,2,154,4.5,1.1,44,United Kingdom,United Kingdom,0,4,2,0,0
45,Jordon Ibe,Bournemouth,21,RW,Attacker,8,504,5,0.4,36,United Kingdom,United Kingdom,0,1,2,0,0
46,Lewis Cook,Bournemouth,20,CM,Midfield,6,243,4.5,0.8,17,United Kingdom,United Kingdom,0,1,2,0,0
47,Lys Mousset,Bournemouth,21,CF,Attacker,4,131,5,0.1,14,EU,France,0,1,2,0,0
48,Adam Federici,Bournemouth,32,GK,Goalkeeper,1,126,4,1.5,8,RoW,Australia,0,5,2,0,0
49,Max Gradel,Bournemouth,29,LW,Attacker,7,287,5,0.1,8,RoW,Cote d'Ivoire,0,4,2,0,0
50,Tyrone Mings,Bournemouth,24,CB,Defence,5,422,4.5,0.4,4,United Kingdom,United Kingdom,0,2,2,0,0
51,Brad Smith,Bournemouth,23,LB,Defence,2,297,4,3.3,4,RoW,Australia,0,2,2,0,0
52,Asmir Begovic,Bournemouth,30,GK,Goalkeeper,8,697,4.5,9.3,2,EU,Bosnia,0,4,2,0,0
53,Niki Maenpaa,Brighton+and+Hove,32,GK,Goalkeeper,0.25,103,4,2.1,0,EU,Finland,0,5,3,0,0
54,Mathew Ryan,Brighton+and+Hove,25,GK,Goalkeeper,3.5,344,4.5,1.5,0,RoW,Australia,0,3,3,0,0
55,Lewis Dunk,Brighton+and+Hove,25,CB,Defence,5,140,4.5,4.1,0,United Kingdom,United Kingdom,0,3,3,0,0
56,Shane Duffy,Brighton+and+Hove,25,CB,Defence,5,243,4.5,0.6,0,EU,Ireland,0,3,3,0,0
57,Uwe Hunemeier,Brighton+and+Hove,31,CB,Defence,1.5,88,4,8,0,EU,Germany,0,4,3,0,0
58,Bruno,Brighton+and+Hove,36,RB,Attacker,0.5,215,4.5,0.4,0,Americas,Argentina,0,6,3,0,0
59,Gaetan Bong,Brighton+and+Hove,29,LB,Defence,1.5,97,4.5,0.2,0,RoW,Cameroon,0,4,3,0,0
60,Liam Rosenior,Brighton+and+Hove,33,RB,Defence,1,132,4,3.2,0,United Kingdom,United Kingdom,0,5,3,0,0
61,Connor Goldson,Brighton+and+Hove,24,CB,Defence,0.75,52,4,0.8,0,United Kingdom,United Kingdom,0,2,3,0,0
62,Markus Suttner,Brighton+and+Hove,30,LB,Defence,2,23,4.5,0.2,0,EU,Austria,0,4,3,0,0
